Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,sparsity,fidelity,exceptionality,uncertainty,num_cfs,Value,Found
47,"[6.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0]","[20.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0]","Agent: 6.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 2}]","Agent: 20.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 2}]","[3, 3, 3]","[2, 3, 1]",1.0,0.2578325072924296,1.0,0.1,False,0,1
84,"[6.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[1.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 2}, {17: 1}, {22: 1}]","Agent: 1.0 Monster: 9.0 Trees: [{2: 2}, {7: 2}, {12: 2}, {17: 1}, {22: 1}]","[3, 3, 0]","[3, 3, -1]",0.6666666666666666,0.07666677795350552,1.0,1.0,False,0,1
96,"[5.0, 3.0, 2.0, 1.0, 0.0, 2.0, 0.0]","[6.0, 3.0, 2.0, 1.0, 0.0, 2.0, 0.0]","Agent: 5.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {17: 2}]","Agent: 6.0 Monster: 3.0 Trees: [{2: 2}, {7: 1}, {17: 2}]","[3, 3, 3]","[0, 0, 0]",1.0,0.24366533756256104,1.0,0.3,False,0,1
140,"[6.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","[15.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 2}, {7: 1}, {12: 1}, {22: 2}]","Agent: 15.0 Monster: 9.0 Trees: [{2: 2}, {7: 1}, {12: 1}, {22: 2}]","[3, 3, 3]","[1, 2, 1]",1.0,0.03207892365753651,1.0,0.7,False,0,1
140,"[6.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","[15.0, 9.0, 2.0, 1.0, 1.0, 0.0, 2.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 2}, {7: 1}, {12: 1}, {22: 2}]","Agent: 15.0 Monster: 9.0 Trees: [{2: 2}, {7: 1}, {12: 1}, {22: 2}]","[3, 3, 3]","[2, 3, 2]",1.0,0.26468638330698013,1.0,0.1,False,0,1
145,"[6.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","[11.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}]","[0, 3, 3]","[1, 0, 0]",1.0,0.22719668224453926,1.0,0.6,False,0,1
145,"[6.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","[11.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}]","[0, 3, 3]","[-1, 3, 0]",0.6666666666666666,0.3733208328485489,1.0,0.2,False,0,1
148,"[16.0, 19.0, 2.0, 2.0, 0.0, 1.0, 2.0]","[11.0, 19.0, 2.0, 2.0, 0.0, 1.0, 2.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}, {17: 1}, {22: 2}]","Agent: 11.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}, {17: 1}, {22: 2}]","[1, 1, 1]","[0, 3, 5]",1.0,0.05020730181907614,1.0,0.7,False,0,1
148,"[16.0, 19.0, 2.0, 2.0, 0.0, 1.0, 2.0]","[11.0, 19.0, 2.0, 2.0, 0.0, 1.0, 2.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}, {17: 1}, {22: 2}]","Agent: 11.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}, {17: 1}, {22: 2}]","[1, 1, 1]","[5, 1, 1]",1.0,0.4610425871020804,1.0,0.2,False,0,1
157,"[16.0, 18.0, 2.0, 2.0, 0.0, 1.0, 0.0]","[6.0, 18.0, 2.0, 2.0, 0.0, 1.0, 0.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {17: 1}]","Agent: 6.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {17: 1}]","[1, 1, 0]","[3, 5, 3]",1.0,0.01395257997016112,1.0,0.3,False,0,1
157,"[16.0, 18.0, 2.0, 2.0, 0.0, 1.0, 0.0]","[6.0, 18.0, 2.0, 2.0, 0.0, 1.0, 0.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {17: 1}]","Agent: 6.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {17: 1}]","[1, 1, 0]","[2, 4, 0]",1.0,0.14018689592679343,1.0,0.2,False,0,1
202,"[6.0, 8.0, 2.0, 2.0, 0.0, 0.0, 2.0]","[16.0, 8.0, 2.0, 2.0, 0.0, 0.0, 2.0]","Agent: 6.0 Monster: 8.0 Trees: [{2: 2}, {7: 2}, {22: 2}]","Agent: 16.0 Monster: 8.0 Trees: [{2: 2}, {7: 2}, {22: 2}]","[3, 3, 3]","[1, 1, 5]",1.0,0.03409583226311952,1.0,0.2,False,0,1
364,"[1.0, 4.0, 2.0, 2.0, 0.0, 1.0, 2.0]","[5.0, 4.0, 2.0, 2.0, 0.0, 1.0, 2.0]","Agent: 1.0 Monster: 4.0 Trees: [{2: 2}, {7: 2}, {17: 1}, {22: 2}]","Agent: 5.0 Monster: 4.0 Trees: [{2: 2}, {7: 2}, {17: 1}, {22: 2}]","[3, 3, 0]","[2, 4, 1]",1.0,0.09408674761652946,0.7333333333333334,0.7,False,0,1
364,"[1.0, 4.0, 2.0, 2.0, 0.0, 1.0, 2.0]","[5.0, 4.0, 2.0, 2.0, 0.0, 1.0, 2.0]","Agent: 1.0 Monster: 4.0 Trees: [{2: 2}, {7: 2}, {17: 1}, {22: 2}]","Agent: 5.0 Monster: 4.0 Trees: [{2: 2}, {7: 2}, {17: 1}, {22: 2}]","[3, 3, 0]","[3, 0, 2]",1.0,0.4121100530028343,1.0,0.1,False,0,1
385,"[11.0, 14.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[1.0, 14.0, 0.0, 1.0, 1.0, 0.0, 1.0]","Agent: 11.0 Monster: 14.0 Trees: [{7: 1}, {12: 1}, {22: 1}]","Agent: 1.0 Monster: 14.0 Trees: [{7: 1}, {12: 1}, {22: 1}]","[1, 1, 0]","[3, 4, 3]",1.0,0.05465974658727646,1.0,0.1,False,0,1
