Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,uncertainty,fidelity,sparsity,num_cfs,exceptionality,Value,Found
24,"[11.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[20.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","Agent: 11.0 Monster: 14.0 Trees: [{2: 1}, {7: 2}, {17: 2}, {22: 1}]","Agent: 20.0 Monster: 14.0 Trees: [{2: 1}, {7: 2}, {17: 2}, {22: 1}]","[3, 0, 4]","[1, 2, 1]",0.7,0.03324724407866597,1.0,False,1.0,0,1
67,"[16.0, 18.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5.0, 18.0, 0.0, 1.0, 0.0, 1.0, 0.0]","Agent: 16.0 Monster: 18.0 Trees: [{7: 1}, {17: 1}]","Agent: 5.0 Monster: 18.0 Trees: [{7: 1}, {17: 1}]","[1, 1, 0]","[3, 2, 3]",0.1,0.029035860983033974,1.0,False,1.0,0,1
136,"[16.0, 18.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[15.0, 18.0, 0.0, 1.0, 0.0, 0.0, 1.0]","Agent: 16.0 Monster: 18.0 Trees: [{7: 1}, {22: 1}]","Agent: 15.0 Monster: 18.0 Trees: [{7: 1}, {22: 1}]","[3, 0, 4]","[3, 1, 2]",0.2,0.2433756177003185,1.0,False,0.7142857142857143,0,1
136,"[16.0, 18.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[15.0, 18.0, 0.0, 1.0, 0.0, 0.0, 1.0]","Agent: 16.0 Monster: 18.0 Trees: [{7: 1}, {22: 1}]","Agent: 15.0 Monster: 18.0 Trees: [{7: 1}, {22: 1}]","[3, 0, 4]","[4, 1, 3]",0.1,0.260891771564881,1.0,False,1.0,0,1
146,"[1.0, 3.0, 0.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 3.0, 0.0, 2.0, 2.0, 2.0, 2.0]","Agent: 1.0 Monster: 3.0 Trees: [{7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 6.0 Monster: 3.0 Trees: [{7: 2}, {12: 2}, {17: 2}, {22: 2}]","[0, 3, 4]","[1, 3, 1]",0.6,0.2571879457682371,1.0,False,0.19444444444444442,0,1
164,"[16.0, 19.0, 1.0, 0.0, 1.0, 0.0, 2.0]","[11.0, 19.0, 1.0, 0.0, 1.0, 0.0, 2.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 1}, {12: 1}, {22: 2}]","Agent: 11.0 Monster: 19.0 Trees: [{2: 1}, {12: 1}, {22: 2}]","[1, 1, 4]","[2, 3, 0]",0.3,0.062013196448485054,1.0,False,0.7142857142857143,0,1
168,"[16.0, 19.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 19.0, 2.0, 2.0, 2.0, 2.0, 2.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 6.0 Monster: 19.0 Trees: [{2: 2}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[1, 1, 1]","[3, 4, 3]",0.2,0.03978526755236089,1.0,False,1.0,0,1
176,"[1.0, 4.0, 0.0, 0.0, 2.0, 2.0, 1.0]","[5.0, 4.0, 0.0, 0.0, 2.0, 2.0, 1.0]","Agent: 1.0 Monster: 4.0 Trees: [{12: 2}, {17: 2}, {22: 1}]","Agent: 5.0 Monster: 4.0 Trees: [{12: 2}, {17: 2}, {22: 1}]","[3, 0, 4]","[3, 2, 1]",0.3,0.05376659954587618,1.0,False,0.6923076923076922,0,1
197,"[16.0, 19.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[6.0, 19.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Agent: 16.0 Monster: 19.0 Trees: [{22: 1}],Agent: 6.0 Monster: 19.0 Trees: [{22: 1}],"[1, 0, 4]","[3, 5, 3]",0.1,0.009377058129757643,1.0,False,1.0,0,1
199,"[5.0, 8.0, 2.0, 0.0, 2.0, 1.0, 1.0]","[6.0, 8.0, 2.0, 0.0, 2.0, 1.0, 1.0]","Agent: 5.0 Monster: 8.0 Trees: [{2: 2}, {12: 2}, {17: 1}, {22: 1}]","Agent: 6.0 Monster: 8.0 Trees: [{2: 2}, {12: 2}, {17: 1}, {22: 1}]","[3, 3, 3]","[4, 0, 4]",0.8,0.30307569603125256,1.0,False,0.923076923076923,0,1
