Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,uncertainty,fidelity,sparsity,num_cfs,exceptionality,Value,Found
24,"[11.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","[20.0, 14.0, 1.0, 2.0, 0.0, 2.0, 1.0]","Agent: 11.0 Monster: 14.0 Trees: [{2: 1}, {7: 2}, {17: 2}, {22: 1}]","Agent: 20.0 Monster: 14.0 Trees: [{2: 1}, {7: 2}, {17: 2}, {22: 1}]","[3, 0, 4]","[2, 1, 1]",0.4,0.03442703979089856,1.0,False,1.0,0,1
25,"[11.0, 14.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[20.0, 14.0, 2.0, 1.0, 0.0, 1.0, 1.0]","Agent: 11.0 Monster: 14.0 Trees: [{2: 2}, {7: 1}, {17: 1}, {22: 1}]","Agent: 20.0 Monster: 14.0 Trees: [{2: 2}, {7: 1}, {17: 1}, {22: 1}]","[0, 1, 4]","[2, 1, 1]",0.5,0.029200139610717695,1.0,False,1.0,0,1
69,"[5.0, 9.0, 1.0, 0.0, 2.0, 2.0, 2.0]","[6.0, 9.0, 1.0, 0.0, 2.0, 2.0, 2.0]","Agent: 5.0 Monster: 9.0 Trees: [{2: 1}, {12: 2}, {17: 2}, {22: 2}]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {12: 2}, {17: 2}, {22: 2}]","[3, 3, 3]","[3, 1, 0]",0.4,0.2529041323189934,1.0,False,1.0,0,1
99,"[1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","[11.0, 4.0, 0.0, 1.0, 0.0, 1.0, 2.0]","Agent: 1.0 Monster: 4.0 Trees: [{7: 1}, {17: 1}, {22: 2}]","Agent: 11.0 Monster: 4.0 Trees: [{7: 1}, {17: 1}, {22: 2}]","[0, 3, 4]","[4, 1, 1]",0.3,0.04149505247672399,1.0,False,1.0,0,1
145,"[6.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","[11.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}]","[0, 3, 3]","[5, 0, 1]",0.3,0.07712383987382054,1.0,False,1.0,0,1
145,"[6.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","[11.0, 9.0, 1.0, 2.0, 2.0, 2.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}]","[0, 3, 3]","[2, 0, 3]",0.1,0.3647054334481557,1.0,False,1.0,0,1
177,"[16.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[20.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]",Agent: 16.0 Monster: 19.0 Trees: [{22: 2}],Agent: 20.0 Monster: 19.0 Trees: [{22: 2}],"[1, 0, 4]","[2, 1, 1]",0.1,0.04799152227739493,1.0,False,0.7000000000000001,0,1
191,"[11.0, 14.0, 2.0, 2.0, 1.0, 1.0, 0.0]","[21.0, 14.0, 2.0, 2.0, 1.0, 1.0, 0.0]","Agent: 11.0 Monster: 14.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}]","Agent: 21.0 Monster: 14.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}]","[3, 3, 0]","[1, 5, 1]",0.4,0.015023207447181145,1.0,False,1.0,0,1
191,"[11.0, 14.0, 2.0, 2.0, 1.0, 1.0, 0.0]","[21.0, 14.0, 2.0, 2.0, 1.0, 1.0, 0.0]","Agent: 11.0 Monster: 14.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}]","Agent: 21.0 Monster: 14.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {17: 1}]","[3, 3, 0]","[4, 2, 0]",0.1,0.1491431345542272,1.0,False,1.0,0,1
209,"[16.0, 18.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[15.0, 18.0, 1.0, 1.0, 0.0, 0.0, 0.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 1}, {7: 1}]","Agent: 15.0 Monster: 18.0 Trees: [{2: 1}, {7: 1}]","[3, 0, 4]","[1, 2, 3]",0.1,0.24464320112019777,1.0,False,1.0,0,1
