,Agent,Monster,Tree2,Tree7,Tree12,Tree17,Tree22
0,6.0,9.0,1.0,0.0,1.0,2.0,2.0
1,6.0,8.0,1.0,0.0,1.0,1.0,2.0
2,11.0,13.0,0.0,2.0,1.0,0.0,0.0
3,1.0,3.0,1.0,0.0,2.0,0.0,1.0
4,1.0,4.0,2.0,2.0,2.0,2.0,1.0
5,6.0,8.0,1.0,1.0,1.0,1.0,2.0
6,5.0,4.0,1.0,0.0,2.0,0.0,1.0
7,11.0,14.0,1.0,1.0,0.0,1.0,0.0
8,11.0,13.0,1.0,1.0,0.0,1.0,2.0
9,11.0,14.0,2.0,1.0,2.0,2.0,1.0
10,16.0,18.0,2.0,1.0,1.0,1.0,1.0
11,16.0,19.0,2.0,1.0,1.0,0.0,2.0
12,21.0,23.0,0.0,1.0,2.0,2.0,1.0
13,1.0,4.0,0.0,1.0,1.0,0.0,2.0
14,6.0,4.0,2.0,0.0,1.0,2.0,1.0
15,11.0,13.0,1.0,0.0,2.0,0.0,2.0
16,6.0,9.0,2.0,0.0,1.0,0.0,1.0
17,11.0,14.0,1.0,1.0,1.0,1.0,1.0
18,16.0,19.0,0.0,2.0,1.0,0.0,1.0
19,6.0,9.0,1.0,1.0,2.0,2.0,2.0
20,6.0,8.0,0.0,0.0,1.0,1.0,1.0
21,11.0,13.0,2.0,0.0,0.0,2.0,0.0
22,21.0,23.0,0.0,2.0,2.0,1.0,0.0
23,16.0,19.0,0.0,1.0,1.0,2.0,1.0
24,11.0,14.0,0.0,0.0,0.0,1.0,0.0
25,16.0,19.0,1.0,1.0,0.0,2.0,1.0
26,1.0,4.0,0.0,2.0,1.0,0.0,2.0
27,0.0,4.0,0.0,1.0,2.0,2.0,2.0
28,11.0,13.0,0.0,0.0,1.0,1.0,1.0
29,16.0,19.0,2.0,1.0,1.0,0.0,1.0
30,1.0,3.0,2.0,1.0,0.0,2.0,1.0
31,11.0,3.0,2.0,1.0,2.0,0.0,2.0
32,11.0,8.0,1.0,2.0,2.0,1.0,1.0
33,6.0,8.0,1.0,2.0,2.0,1.0,2.0
34,21.0,23.0,2.0,1.0,1.0,0.0,0.0
35,11.0,14.0,1.0,2.0,0.0,1.0,2.0
36,1.0,3.0,0.0,2.0,2.0,2.0,1.0
37,6.0,9.0,2.0,0.0,1.0,1.0,1.0
38,16.0,19.0,2.0,1.0,2.0,0.0,0.0
39,11.0,14.0,2.0,1.0,0.0,2.0,1.0
40,0.0,3.0,0.0,0.0,2.0,1.0,1.0
41,1.0,4.0,2.0,1.0,1.0,1.0,1.0
42,1.0,3.0,0.0,2.0,1.0,0.0,1.0
43,6.0,9.0,2.0,0.0,0.0,2.0,1.0
44,21.0,23.0,2.0,1.0,2.0,2.0,1.0
45,6.0,3.0,2.0,1.0,2.0,1.0,2.0
46,11.0,13.0,0.0,1.0,0.0,0.0,1.0
47,16.0,18.0,0.0,1.0,1.0,1.0,2.0
48,16.0,23.0,2.0,1.0,2.0,0.0,1.0
49,16.0,19.0,0.0,1.0,0.0,0.0,0.0
